id,Codigo Especie,Familia,especie,nombre,sinonimo,uicn,endemismo,migracion
11849,UTPL_A0191,54,Colaptes rubiginosus,Golden-olive Woodpecker,Piculus rubiginosus,1,null,null
11850,UTPL_A0680,74,Saltator striatipectus,Streaked Saltator,null,1,null,null
11851,UTPL_A0217,42,Crotophaga sulcirostris,Groove-billed Ani,null,1,null,null
11852,UTPL_A0125,69,Cantorchilus superciliaris,Superciliated Wren,Tryothorus superciliaris,null,BT,null
11853,UTPL_A0099,37,Buteogallus urubitinga,Great Black-Hawk,null,1,null,null
11854,UTPL_A0281,62,Euscarthmus meloryphus,Tawny-crowned Pygmy-Tyrant,null,1,null,null
11855,UTPL_A0382,62,Lathrotriccus griseipectus,Gray-breasted Flycatcher,null,2,BT - RM,null
11856,UTPL_A0276,79,Euphonia laniirostris,Thick-billed Euphonia,null,1,null,null
11857,UTPL_A0603,76,Piranga flava,Hepatic Tanager,null,1,null,MB
11858,UTPL_A0698,77,Setophaga pitiayumi,Tropical Parula,null,null,null,null
11859,UTPL_A0205,62,Contopus cinereus,Tropical Pewee,null,1,null,null
11860,UTPL_A0396,48,Leucippus baeri,Tumbes Hummingbird,null,1,BT,null
11861,UTPL_A0134,35,Cathartes aura,Turkey Vulture,null,1,null,MB - C 
11862,UTPL_A0652,62,Pyrocephalus rubinus,Vermilion Flycatcher,null,1,null,MA - C
11863,UTPL_A0851,41,Zenaida meloda,West Peruvian Dove,null,1,null,null
11864,UTPL_A0064,75,Atlapetes albiceps,White-headed Brush-Finch,null,1,BT,null
11865,UTPL_A0364,78,Icterus graceannae,White-edged Oriole,null,1,BT,null
11866,UTPL_A0394,41,Leptotila verreauxi,White-tipped Dove,null,1,null,null
11867,UTPL_A0227,67,Cyanocorax mystacalis,White-tailed Jay,null,1,BT,null
11868,UTPL_A0800,62,Tolmomyias sulphurescens,Yellow-olive Flycatcher,null,1,null,null
11869,UTPL_A0016,48,Amazilia amazilia,Amazilia Hummingbird,null,1,null,null
11870,UTPL_A0016,48,Amazilia amazilia,Amazilia Hummingbird,null,1,null,null
11871,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
11872,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
11873,UTPL_A0640,56,Psittacara erythrogenys,Red-masked Parakeet,null,3,BT,null
11874,UTPL_A0640,56,Psittacara erythrogenys,Red-masked Parakeet,null,3,BT,null
11875,UTPL_A0016,48,Amazilia amazilia,Amazilia Hummingbird,null,1,null,null
11876,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
11877,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
11878,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
